size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
42056,3,3,1.584962500721156,8533.333333333334,512,22528,25600,3.1695511695102483,0.08153941234324169,5.080943527744149,0,1,0,1,1,1,1.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,554,26.967509025270758,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,5.080943527744149,0,0
42064,3,3,1.584962500721156,8533.333333333334,512,23552,25600,3.044251030960502,0.08153941234324169,4.989345669280598,0,1,0,1,1,1,1.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,547,27.53382084095064,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,4.989345669280598,0,0
304808,7,7,2.807354922057604,42349.71428571428,512,201216,296448,3.9164777548481347,0.2709852765567828,5.67022090504733,0,1,0,188,14,188,13.428571428571429,1,7,0,0,0,0,0,2,0,64,256,0,0,0,2497,27.001201441730075,1,1,0,0,0,1,1,1,1,0,0,1,3,0,1,1,0,1,0,5.67022090504733,0,0
72834,10,10,3.321928094887362,6604.8,0,41984,66048,3.4348671338789223,0.0,6.135474724288048,1,1,0,133,4,133,33.25,0,2,0,0,0,0,0,2,0,64,256,0,0,0,797,16.535759096612296,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,6.135474724288048,0,0
413088,6,6,2.584962500721156,66901.33333333333,1024,214016,401408,4.7192415901220786,4.235028562308166,5.514861413844246,0,1,0,196,18,196,10.88888888888889,0,8,0,0,0,0,0,2,0,64,256,0,0,0,1926,19.818795430944963,1,1,0,0,0,1,1,1,1,0,0,1,4,0,1,1,0,1,0,5.514861413844246,0,0
1193376,6,6,2.584962500721156,196949.33333333334,2048,969216,1181696,5.010523873007773,3.107586411098129,6.442141917640675,0,1,0,296,17,296,17.41176470588235,0,9,0,0,0,0,0,2,0,64,256,0,0,0,7120,9.680758426966293,1,1,0,0,0,1,1,1,1,0,0,1,3,0,1,1,0,1,0,6.442141917640675,0,0
1580992,5,5,2.321928094887362,313856.0,11776,761344,1569280,5.2955115339917445,3.8424408748110177,6.644329394858124,0,1,0,461,21,461,21.952380952380953,1,11,0,0,0,0,0,2,0,64,256,0,0,0,11962,17.099481692024746,1,1,0,0,0,1,1,1,1,1,0,1,12,0,1,1,0,1,0,6.614050386702821,0,0
369616,5,5,2.321928094887362,71577.6,6144,217088,357888,5.241786777466684,3.436803021323199,6.60035498040949,0,1,0,313,15,313,20.866666666666667,1,10,0,0,0,0,0,2,0,64,256,0,0,0,2880,11.288194444444445,1,1,0,0,0,1,1,1,1,1,0,1,4,0,1,1,0,1,0,6.60035498040949,0,0
1580992,5,5,2.321928094887362,313856.0,11776,761344,1569280,5.2955115339917445,3.8424408748110177,6.644329394858124,0,1,0,461,21,461,21.952380952380953,1,11,0,0,0,0,0,2,0,64,256,0,0,0,11962,17.099481692024746,1,1,0,0,0,1,1,1,1,1,0,1,12,0,1,1,0,1,0,6.614050386702821,0,0
7014568,8,8,3.0,875776.0,512,5114880,7006208,4.60268022000446,1.4630021651135456,6.342592761980263,0,1,0,380,14,380,27.142857142857142,0,12,38,2,1,0,0,2,0,64,256,0,0,0,18395,20.053492796955695,1,1,0,1,0,1,1,1,1,0,0,1,7,1,1,1,0,1,0,6.342592761980263,0,0
5482912,6,6,2.584962500721156,911872.0,1024,4226048,5471232,5.172438062263706,3.150328619941854,6.072027615357171,0,1,0,237,18,237,13.166666666666666,0,3,0,0,0,0,0,2,0,64,256,0,0,0,26290,14.85017116774439,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,6.072027615357171,0,0
1199520,6,6,2.584962500721156,197973.33333333334,2048,978944,1187840,5.009954097975727,3.130506819861554,6.434439045151029,0,1,0,285,17,285,16.764705882352942,0,9,0,0,0,0,0,2,0,64,256,0,0,0,7169,9.545264332542892,1,1,0,0,0,1,1,1,1,0,0,1,3,0,1,1,0,1,0,6.434439045151029,0,0
3586968,7,7,2.807354922057604,510756.5714285714,512,2290176,3575296,4.503827230464163,0.9146994544529533,6.323090267825944,0,1,0,205,13,205,15.76923076923077,0,6,0,0,0,0,0,2,0,64,256,0,0,0,8901,38.66801482979441,1,1,0,0,0,1,1,1,0,0,0,1,4,0,1,1,0,1,0,6.323090267825944,0,0
474528,7,7,2.807354922057604,66121.14285714286,512,275456,462848,4.700235417450955,3.142977855259289,6.170018640772692,0,1,0,79,3,79,26.333333333333332,0,5,0,0,0,0,0,2,0,64,256,0,0,0,2243,8.450735621934909,1,1,0,0,0,1,1,0,0,0,0,1,4,0,1,0,0,1,0,6.170018640772692,0,0
